file,endpoint,url,threads,conns,duration,total_requests,req_sec,transfer,lat_avg,lat_stdev,lat_max,lat_p50,lat_p75,lat_p90,lat_p99,socket_connect,socket_read,socket_write,socket_timeout,error
bench_results/20251212_190955/__status_t2_c100.txt,/_/status,http://127.0.0.1:8080/_/status,2,100,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/__status_t2_c200.txt,/_/status,http://127.0.0.1:8080/_/status,2,200,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/__status_t2_c50.txt,/_/status,http://127.0.0.1:8080/_/status,2,50,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/__status_t4_c100.txt,/_/status,http://127.0.0.1:8080/_/status,4,100,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/__status_t4_c200.txt,/_/status,http://127.0.0.1:8080/_/status,4,200,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/__status_t4_c50.txt,/_/status,http://127.0.0.1:8080/_/status,4,50,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/__status_t8_c100.txt,/_/status,http://127.0.0.1:8080/_/status,8,100,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/__status_t8_c200.txt,/_/status,http://127.0.0.1:8080/_/status,8,200,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/__status_t8_c50.txt,/_/status,http://127.0.0.1:8080/_/status,8,50,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_api_v1_common_send_test_t2_c100.txt,/api/v1/common/send-test,http://127.0.0.1:8080/api/v1/common/send-test,2,100,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_api_v1_common_send_test_t2_c200.txt,/api/v1/common/send-test,http://127.0.0.1:8080/api/v1/common/send-test,2,200,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_api_v1_common_send_test_t2_c50.txt,/api/v1/common/send-test,http://127.0.0.1:8080/api/v1/common/send-test,2,50,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_api_v1_common_send_test_t4_c100.txt,/api/v1/common/send-test,http://127.0.0.1:8080/api/v1/common/send-test,4,100,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_api_v1_common_send_test_t4_c200.txt,/api/v1/common/send-test,http://127.0.0.1:8080/api/v1/common/send-test,4,200,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_api_v1_common_send_test_t4_c50.txt,/api/v1/common/send-test,http://127.0.0.1:8080/api/v1/common/send-test,4,50,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_api_v1_common_send_test_t8_c100.txt,/api/v1/common/send-test,http://127.0.0.1:8080/api/v1/common/send-test,8,100,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_api_v1_common_send_test_t8_c200.txt,/api/v1/common/send-test,http://127.0.0.1:8080/api/v1/common/send-test,8,200,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_api_v1_common_send_test_t8_c50.txt,/api/v1/common/send-test,http://127.0.0.1:8080/api/v1/common/send-test,8,50,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_media_test1m_bin_t2_c100.txt,/media/test1m.bin,http://127.0.0.1:8080/media/test1m.bin,2,100,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_media_test1m_bin_t2_c200.txt,/media/test1m.bin,http://127.0.0.1:8080/media/test1m.bin,2,200,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_media_test1m_bin_t2_c50.txt,/media/test1m.bin,http://127.0.0.1:8080/media/test1m.bin,2,50,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_media_test1m_bin_t4_c100.txt,/media/test1m.bin,http://127.0.0.1:8080/media/test1m.bin,4,100,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_media_test1m_bin_t4_c200.txt,/media/test1m.bin,http://127.0.0.1:8080/media/test1m.bin,4,200,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_media_test1m_bin_t4_c50.txt,/media/test1m.bin,http://127.0.0.1:8080/media/test1m.bin,4,50,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_media_test1m_bin_t8_c100.txt,/media/test1m.bin,http://127.0.0.1:8080/media/test1m.bin,8,100,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_media_test1m_bin_t8_c200.txt,/media/test1m.bin,http://127.0.0.1:8080/media/test1m.bin,8,200,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
bench_results/20251212_190955/_media_test1m_bin_t8_c50.txt,/media/test1m.bin,http://127.0.0.1:8080/media/test1m.bin,8,50,15s,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
